(mpi)

PROCESSES          8 on Quasar
NUM_GENERATIONS    2000
N                  2048
BOARD              2048/8 -> 256

generation,cells count,elapsed time (ms)
1022,181917,13.083
1023,181699,10.4489
1024,182485,12.7108
1025,182153,13.3877
1026,182286,14.9376
1027,182047,11.7586
1028,182539,10.2768
1029,182224,11.8189
1030,182024,11.5502
1031,182069,12.27
1032,182149,10.6249
1033,182175,12.4662
1034,181609,10.9575
1035,182010,12.2468
1036,181348,11.7517
1037,181799,11.5077
1038,181382,13.3986
1039,181474,11.4324
1040,181120,10.7455
1041,181274,12.5351
1042,180591,12.9845
1043,180910,12.6975
1044,180661,12.4924
1045,180626,10.2327
1046,180116,12.0027
1047,180570,13.0122
1048,180132,12.7099
1049,180229,10.3054
1050,180071,14.0653
1051,179843,13.4881
1052,179626,13.7448
1053,179703,10.2773
1054,179834,12.0752
1055,179762,14.92
1056,180007,13.0515
1057,179983,10.5827
1058,180023,12.6185
1059,179821,13.5221
1060,179728,12.1367
1061,179716,10.5958
1062,179399,14.8447
1063,179816,13.1786
1064,179837,16.3152
1065,179637,13.4964
1066,179573,10.2744
1067,178849,12.8577
1068,179107,14.1509
1069,178900,12.2054
1070,178820,10.5624
1071,178366,12.6545
1072,178442,13.1161
1073,178388,10.6418
1074,178078,12.903
1075,178389,12.0077
1076,178456,14.0572
1077,178269,16.897
1078,178495,13.473
1079,178140,13.5648
1080,178390,11.2638
1081,178283,12.2464
1082,178561,13.2105
1083,178671,13.4804
1084,178451,11.652
1085,178273,16.2897
1086,178444,12.4233
1087,177970,13.1414
1088,177912,10.9267
1089,177638,11.9858
1090,177769,13.0539
1091,177426,12.6021
1092,177356,10.3106
1093,177079,12.8756
1094,176724,13.248
1095,176693,12.475
1096,176916,10.3073
1097,176297,12.2209
1098,176613,12.2764
1099,176449,19.5541
1100,176570,16.0234
1101,176346,12.9604
1102,175914,11.8554
1103,175870,12.0571
1104,175991,13.1309
1105,176420,12.6948
1106,176297,10.3931
1107,176197,12.6088
1108,176304,12.5396
1109,175742,12.3875
1110,176127,11.8244
1111,175696,12.9509
1112,175995,12.0523
1113,175720,14.6077
1114,175598,10.6256
1115,175377,12.2392
1116,175046,12.3236
1117,175051,13.3705
1118,175126,10.4711
1119,175310,12.7318
1120,175325,17.7166
1121,175580,16.7739
1122,175426,12.6688
1123,175805,13.3462
1124,174821,11.0555
1125,175178,12.2681
1126,174711,12.3467
1127,174564,10.8917
1128,174835,12.9037
1129,174709,14.4396
1130,174659,14.5824
1131,174223,12.4719
1132,174170,17.3712
1133,174530,10.5009
1134,174677,12.5337
1135,174281,12.5632
1136,174543,14.1594
1137,174054,11.4477
1138,174126,14.4765
1139,174036,14.4143
1140,174303,15.5785
1141,173901,14.873
1142,174077,12.4092
1143,173753,13.8483
1144,173687,11.3709
1145,173470,12.6331
1146,173534,13.1359
1147,173417,10.2015
1148,173303,12.8427
